iter	RMSE
176	0.3835571628
177	0.3834127161
178	0.3833216107
179	0.3831489796
180	0.3830422468
181	0.3828249793
182	0.3824349972
183	0.3822814706
184	0.3820623207
185	0.3817160705
186	0.3816020992
187	0.3811999678
188	0.3810685712
189	0.3807038617
190	0.3803878383
191	0.3802173448
192	0.3801308423
193	0.3799891212
194	0.3796529215
195	0.3795054139
196	0.3793589634
197	0.3790977516
198	0.3789719921
199	0.3786014127
200	0.378345515
201	0.3781819063
202	0.3780968465
203	0.3778916258
204	0.3777812661
205	0.3776640424
206	0.3775306429
207	0.3771160141
208	0.3770221306
209	0.3768479289
210	0.3767869422
211	0.3766540835
212	0.3764980448
213	0.376382842
214	0.376133341
215	0.3759817193
216	0.3758844694
217	0.3757436684
218	0.3754109473
219	0.3753066165
220	0.3752289078
221	0.375181762
222	0.3750801074
223	0.3748271336
224	0.3747184389
225	0.3746228067
226	0.3744934036
227	0.3742507641
228	0.3741636419
229	0.3739342379
230	0.3738108554
231	0.3736776212
232	0.3735419005
233	0.3734021876
234	0.3732452776
235	0.3729932089
236	0.3728801094
237	0.3727973005
238	0.3726898326
239	0.372535792
240	0.3722941086
241	0.3722174941
242	0.3721039434
243	0.372018689
244	0.3719052148
245	0.3715528733
246	0.3712586073
247	0.3710135969
248	0.3707997189
249	0.3707068704
250	0.3704187404
251	0.3703122355
252	0.3702137916
253	0.3700829454
254	0.3700118614
255	0.3697963397
256	0.369548072
257	0.369455915
258	0.3690783482
259	0.3688622613
260	0.3688046773
261	0.3687199845
262	0.368404325
263	0.3682857197
264	0.3682102309
265	0.3679996355
266	0.3677241708
267	0.3675215469
268	0.3674658752
269	0.3673981137
270	0.3673112115
271	0.3672467755
272	0.3671346851
273	0.3668620875
274	0.3666906122
275	0.3665581504
276	0.3664571268
277	0.3661133982
278	0.3659356965
279	0.3658591052
280	0.3657330582
281	0.3656328233
282	0.3654954514
283	0.365368481
284	0.3649542741
285	0.3647621607
286	0.3645088646
287	0.3642777023
288	0.3640927989
289	0.3638798806
290	0.3638117918
291	0.363766853
292	0.3636918691
293	0.3635603396
294	0.3634907271
295	0.3633229167
296	0.3632237825
297	0.3631653647
298	0.3629579066
299	0.3628721304
300	0.3627925016
301	0.362642618
302	0.3625516408
303	0.3624422209
304	0.3622263001
305	0.3621690899
306	0.3620581855
307	0.3618689052
308	0.3617168657
309	0.3616469991
310	0.3614528254
311	0.3612229358
312	0.3608846028
313	0.3608118077
314	0.360734775
315	0.3605650755
316	0.3603929502
317	0.360086427
318	0.3599974358
319	0.3598170985
320	0.3597317283
321	0.3596736755
322	0.3595929331
323	0.3594372745
324	0.3593761725
325	0.3593180014
326	0.3592639393
327	0.3591969031
328	0.3590389819
329	0.3589606957
330	0.3588453874
331	0.3587600501
332	0.3585756147
333	0.3584135356
334	0.3583677368
335	0.3583129414
336	0.3582310581
337	0.3579068403
338	0.357774773
339	0.3576544768
340	0.3575522014
341	0.3574171481
342	0.3573564758
343	0.3573061762
344	0.3570449982
345	0.3568626584
346	0.3567713309
347	0.3566822892
348	0.3565663258
349	0.3565309203
350	0.3564197952
351	0.3562899997
352	0.3561725376
353	0.3560862526
354	0.3559285485
355	0.3558603515
356	0.3558159857
357	0.3557434646
358	0.3557191442
359	0.3556347577
360	0.3555582024
361	0.3553856004
362	0.3553364166
363	0.3551765121
364	0.3550783262
365	0.3550219966
366	0.3548439782
367	0.3547938155
368	0.3547199759
369	0.3546219102
370	0.3545752517
371	0.3545345489
372	0.3544856994
373	0.3543817073
374	0.3543249584
375	0.3542106103
376	0.3541617779
377	0.3540903383
378	0.3540207578
379	0.3538879199
380	0.3538211835
381	0.3537787458
382	0.3537272369
383	0.3536706097
384	0.3535540503
385	0.3534773536
386	0.3532759663
387	0.3532070508
388	0.3531041477
389	0.353003238
390	0.3529077313
391	0.3528554343
392	0.3528093891
393	0.352774247
394	0.3527067626
395	0.3526503643
396	0.3526006749
397	0.3525431638
398	0.3524233155
399	0.3523673681
400	0.3523082467
401	0.3522120341
402	0.3521410062
403	0.3519698967
404	0.3518584497
405	0.3516860422
406	0.3515973917
407	0.3515407117
408	0.3514966716
409	0.3513995316
410	0.3513481718
411	0.3512906009
412	0.3512166681
413	0.3511137006
414	0.3510292244
415	0.3509304804
416	0.3508673985
417	0.3508242919
418	0.3507655337
419	0.3506815764
420	0.3506291968
421	0.3505340412
422	0.3504114673
423	0.3503776032
424	0.3503260312
425	0.3502394921
426	0.3501713943
427	0.3501264118
428	0.3500887102
429	0.3499394047
430	0.3498477074
431	0.3498211228
432	0.3497641341
433	0.3497169108
434	0.3496523592
435	0.3496173167
436	0.3495760784
437	0.3495200298
438	0.3494803754
439	0.3493902057
440	0.3493283166
441	0.349262128
442	0.3491729352
443	0.3491042327
444	0.349060094
445	0.3490021248
446	0.3489163854
447	0.3488400271
448	0.3487735161
449	0.348744467
450	0.3486634931
451	0.3486210235
452	0.3484954343
453	0.348455611
454	0.3484076874
455	0.3483494003
456	0.3483170726
457	0.3482634688
458	0.3481763333
459	0.3481363479
460	0.3481088161
461	0.3480187413
462	0.3479653534
463	0.3479240973
464	0.3478559549
465	0.3478063245
466	0.3477493934
467	0.3474753689
468	0.3473045211
469	0.3472435616
470	0.3471948304
471	0.3471464912
472	0.3471071746
473	0.3470730932
474	0.3470173859
475	0.3469647368
476	0.3468819396
477	0.3468334834
478	0.3467841165
479	0.3467109676
480	0.3466761849
481	0.3466160717
482	0.3465385335
483	0.3465005573
484	0.3464066347
485	0.3463733681
486	0.3462636982
487	0.3461520037
488	0.3460988227
489	0.345919731
490	0.3458100963
491	0.3457374581
492	0.3457063619
493	0.3455747571
494	0.345536464
495	0.3454115785
496	0.345354548
497	0.345262847
498	0.3452144695
499	0.3451871164
500	0.3451367538
501	0.3450792344
502	0.345034792
503	0.3449575218
504	0.3448718757
505	0.3446205521
506	0.3445386302
507	0.3445058391
508	0.3444551124
509	0.3443961141
510	0.3443628966
511	0.3443265538
512	0.3442438844
513	0.344209837
514	0.3441194829
515	0.3440959614
516	0.3440488392
517	0.3440154399
518	0.3439586336
519	0.343922248
520	0.3438944423
521	0.3438419933
522	0.3437881582
523	0.3437536204
524	0.3436978417
525	0.3436658823
526	0.3436348956
527	0.3435259108
528	0.3434728113
529	0.3433583092
530	0.3432182653
531	0.3431966677
532	0.3430924405
533	0.3430416217
534	0.3429760687
535	0.3429266886
536	0.3428572447
537	0.3428098141
538	0.3427684266
539	0.3426112721
540	0.342574403
541	0.3425463284
542	0.3424944922
543	0.3424198947
544	0.3423878479
545	0.3423437268
546	0.3422784129
547	0.3422149607
548	0.3421333149
549	0.3421005595
550	0.3420861142
551	0.3420247681
552	0.3419775524
553	0.3419466578
554	0.3419043344
555	0.3418580615
556	0.3417533087
557	0.3417243347
558	0.3416844796
559	0.3415720132
560	0.3415249483
561	0.3412843691
562	0.3412378626
563	0.3411693781
564	0.3411205697
565	0.3410970871
566	0.34107668
567	0.3409962899
568	0.3409328877
569	0.3408975048
570	0.3408785504
571	0.340826343
572	0.3407566742
573	0.3406832046
574	0.3406580336
575	0.3404778461
576	0.3404134695
577	0.3403544666
578	0.3403043847
579	0.3402405644
580	0.3401893839
581	0.3401630944
582	0.3401206669
583	0.3399261827
584	0.3398909952
585	0.3398508714
586	0.3398101744
587	0.3397729263
588	0.3396844282
589	0.3396606853
590	0.3395932457
591	0.3395211987
592	0.3394675694
593	0.3394410092
594	0.339244567
595	0.339206075
596	0.3391837061
597	0.3391098849
598	0.3390162367
599	0.338926498
600	0.3388615041
601	0.338839661
602	0.3387818469
603	0.3387328129
604	0.3387047641
605	0.3386580217
606	0.3386117357
607	0.3385464983
608	0.3385012521
609	0.3384486995
610	0.3384064878
611	0.3383304612
612	0.3382747794
613	0.3382374591
614	0.338213647
615	0.3381268101
616	0.3380203943
617	0.3379972462
618	0.3379539968
619	0.3378583456
620	0.3377829292
621	0.3377184814
622	0.3376716241
623	0.3376601624
624	0.3376204427
625	0.3374452101
626	0.3374160715
627	0.3373792179
628	0.337270081
629	0.3372150563
630	0.337148284
631	0.3371196061
632	0.3370828067
633	0.3370295246
634	0.3369934723
635	0.3369622181
636	0.3369382942
637	0.3369144011
638	0.3368945736
639	0.3368409481
640	0.3367787114
641	0.3367464632
642	0.3367185845
643	0.3366848369
644	0.3366103377
645	0.3365581937
646	0.3365427308
647	0.3364585713
648	0.336442833
649	0.3364041829
650	0.3363573375
651	0.3362584468
652	0.3361752785
653	0.336122991
654	0.3360500373
655	0.3359905068
656	0.3359136187
657	0.3358609867
658	0.335797494
659	0.3357620041
660	0.3356773123
661	0.3356510711
662	0.3356048698
663	0.335588125
664	0.3355310323
665	0.3354376996
666	0.3353547515
667	0.3353300283
668	0.3353073791
669	0.3352918477
670	0.3352629675
671	0.3351824334
672	0.3351490204
673	0.3351039136
674	0.3350703297
675	0.3350578545
676	0.3350221012
677	0.3349873342
678	0.3349530531
679	0.3349066902
680	0.3348881368
681	0.3348452695
682	0.3347794614
683	0.3347208045
684	0.3346932906
685	0.3346201015
686	0.3345651746
687	0.3345508614
688	0.3344972088
689	0.3344330431
690	0.334403958
691	0.3342735725
692	0.3342293615
693	0.3341792233
694	0.334155351
695	0.3341096519
696	0.3340554593
697	0.3340259267
698	0.3340114595
699	0.333999043
700	0.3338244094
701	0.3337582909
702	0.3337224967
703	0.3336942452
704	0.3335766269
705	0.3335222056
706	0.3334132053
707	0.3334004932
708	0.3333544391
709	0.3332852423
710	0.3332076863
711	0.333151914
712	0.3331327377
713	0.3330861981
714	0.3329936138
715	0.3328431872
716	0.3327709492
717	0.3327491553
718	0.3326621956
719	0.3326134098
720	0.3325254283
721	0.3324917812
722	0.3324499094
723	0.3324143361
724	0.3323759522
725	0.3323452506
726	0.3323192617
727	0.3322917792
728	0.3322751526
729	0.3322230082
730	0.3321888697
731	0.3321488688
732	0.3320976044
733	0.332024798
734	0.3319873131
735	0.3319412716
736	0.3319192256
737	0.3318454027
738	0.3318149266
739	0.3317901263
740	0.3317319845
741	0.3316978943
742	0.3316492524
743	0.3316293958
744	0.3315641256
745	0.3315234117
746	0.3314806589
747	0.3314562844
748	0.3314327328
749	0.3313879889
750	0.3313456146
751	0.3312765152
752	0.3312394077
753	0.3312165778
754	0.3311424882
755	0.3310904076
756	0.3310690645
757	0.3310405755
758	0.3309749689
759	0.3309191838
760	0.3308984464
761	0.3308703612
762	0.3308420645
763	0.3308094028
764	0.3307550111
765	0.330725283
766	0.3306953979
767	0.3306627769
768	0.330618524
769	0.3305795457
770	0.3305504964
771	0.3305303202
772	0.3305027882
773	0.3304573339
774	0.3304411775
775	0.3304027408
776	0.3303898908
777	0.3303480063
778	0.3302901623
779	0.3302658875
780	0.3302280484
781	0.3302015728
782	0.3301767396
783	0.330136506
784	0.3300809103
785	0.3300434364
786	0.3300112258
787	0.329982767
788	0.3299620812
789	0.329943316
790	0.3299264164
791	0.329891046
792	0.3298708406
793	0.3298446346
794	0.3298047251
795	0.3297545661
796	0.3297122472
797	0.3296906159
798	0.3296606149
799	0.3296002841
800	0.3295593719
801	0.3294961027
802	0.3294725769
803	0.3294566266
804	0.3294325116
805	0.3293708003
806	0.32932623
807	0.3292935287
808	0.329253497
809	0.3292129069
810	0.3291758324
811	0.3291488404
812	0.3290864447
813	0.3290468751
814	0.3289048594
815	0.3288928152
816	0.3287405122
817	0.3286141343
818	0.3285784119
819	0.3285525244
820	0.3285091187
821	0.3284861435
822	0.3284500521
823	0.3284163759
824	0.3283870797
825	0.3283609995
826	0.3283297005
827	0.3282898177
828	0.3282531386
829	0.3282071506
830	0.3281833769
831	0.3281632884
832	0.3281168325
833	0.3280912418
834	0.328058273
835	0.3280305224
836	0.3280014362
837	0.3279235196
838	0.3278727616
839	0.3278161928
840	0.3278045088
841	0.3277681312
842	0.3277611598
843	0.3277289918
844	0.32770515
845	0.327675123
846	0.3276300216
847	0.3275963612
848	0.327565601
849	0.3274945913
850	0.3274205833
851	0.3273964185
852	0.327370315
853	0.3273400346
854	0.3273075357
855	0.3272885292
856	0.3272531076
857	0.3271909517
858	0.3271790338
859	0.3271242166
860	0.3270973338
861	0.3270666604
862	0.3270314376
863	0.3270151565
864	0.3269874734
865	0.3269531004
866	0.3269017012
867	0.3268518103
868	0.3268152932
869	0.326795154
870	0.3267802105
871	0.3267338257
872	0.3266417168
873	0.3266194916
874	0.3265899785
875	0.3265648707
876	0.3265531307
877	0.3265047492
878	0.3264876493
879	0.3264419597
880	0.3264099743
881	0.3263995797
882	0.3263589139
883	0.326331633
884	0.3262991118
885	0.3262351992
886	0.3262115276
887	0.3261948592
888	0.3261767822
889	0.3261574864
890	0.3261436534
891	0.3261226906
892	0.3260638064
893	0.3260448392
894	0.3259928496
895	0.3259582934
896	0.3259340538
897	0.3259031815
898	0.32588605
899	0.3258541331
900	0.3258248973
901	0.3258046187
902	0.3257836564
903	0.3257301148
904	0.3256873401
905	0.325663595
906	0.3256221322
907	0.3255912303
908	0.325552859
909	0.3255077995
910	0.3254873555
911	0.3254517043
912	0.3254321303
913	0.3253970217
914	0.3253718107
915	0.325314639
916	0.3251953346
917	0.325178771
918	0.3251582952
919	0.3251400149
920	0.3250868157
921	0.3250093104
922	0.3249960229
923	0.3249779353
924	0.3249502805
925	0.3249131347
926	0.3248722828
927	0.3248306965
928	0.3248168071
929	0.3247989002
930	0.3247693563
931	0.3247440404
932	0.3246858602
933	0.3246710105
934	0.3245566459
935	0.3245248228
936	0.3245076523
937	0.3244327944
938	0.324409699
939	0.3243531779
940	0.3243084798
941	0.324296602
942	0.3242614042
943	0.3242328678
944	0.3242108485
945	0.3241835667
946	0.3241333474
947	0.3241093648
948	0.3240330541
949	0.3240170272
950	0.3239969054
951	0.3239754662
952	0.3239664784
953	0.3239451159
954	0.3239303672
955	0.3238833379
956	0.3237803222
957	0.3237599042
958	0.32372574
959	0.3237004664
960	0.323679942
961	0.3236434836
962	0.3236213791
963	0.3235074545
964	0.3234877178
965	0.3234733989
966	0.3234010174
967	0.323339992
968	0.3232852792
969	0.3232396217
970	0.3232146708
971	0.3231968669
972	0.3231778667
973	0.3231605006
974	0.3231321264
975	0.3230973093
976	0.3230654778
977	0.3230243584
978	0.3230171154
979	0.3229992781
980	0.3229643451
981	0.3229316541
982	0.3229067923
983	0.3228620182
984	0.3228136817
985	0.3227581119
986	0.3227218655
987	0.322680228
988	0.3226533815
989	0.3226376814
990	0.3226100633
991	0.3224778136
992	0.3224703097
993	0.3223986977
994	0.3223673172
995	0.3223474428
996	0.3223400377
997	0.3223245145
998	0.3223132533
999	0.3222929233
